Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Old,Total,Total,2.937486649,2015,Labour market insecurity_Age:Old_Sex:Total_Education:Total
United States,3_1,Housing,PT_HH,Percentage of households,Households living in overcrowded conditions,,Total,Total,Total,4.202366248,2015,Households living in overcrowded conditions_Age:Total_Sex:Total_Education:Total
United States,3_4,Housing,PT_HH,Percentage of households,Poor households without access to basic sanitary facilities,,Total,Total,Total,0.478699151,2015,Poor households without access to basic sanitary facilities_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,72.8,2015,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Secondary education,13.91852796,2015,Negative affect balance_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Young,Total,Total,12.30201572,2015,Negative affect balance_Age:Young_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Female,Total,64.20485973,2015,Feeling safe at night_Age:Total_Sex:Female_Education:Total
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,66140,2015,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.2,2015,Homicides_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Old,Total,Total,91.25460386,2015,Social support_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Primary education,7.909344673,2015,Labour market insecurity_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,91.9,2015,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,13.606999,2015,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Old,Total,Total,11.9647935,2015,Negative affect balance_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Middle-aged,Total,Total,3.413746595,2015,Labour market insecurity_Age:Middle-aged_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,61.52387052,2015,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Male,Total,4.659862518,2015,Labour market insecurity_Age:Total_Sex:Male_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,54.681458,2015,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2015,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,3.973111815,2015,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Middle-aged,Total,Total,24.43141747,2015,Job strain_Age:Middle-aged_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,80.23300347,2015,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Total,Primary education,25.86146927,2015,Job strain_Age:Total_Sex:Total_Education:Primary education
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,25.02085606,2015,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,44744,2015,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,81.1,2015,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Male,Total,27.88340759,2015,Job strain_Age:Total_Sex:Male_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,25.25374431,2015,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,3_3,Housing,PT_HH,Percentage of households,Housing cost overburden,,Total,Total,Total,29.38689888,2015,Housing cost overburden_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2015,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,68.645622,2015,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2015,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.43316628,2015,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,0.905514661,2015,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2015,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,73.39154994,2015,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,2.7,2015,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2015,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2015,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,82.07759804,2015,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,9_2,Environmental quality,PT_POP,Percentage of population,Exposed to air pollution,,Total,Total,Total,12.306,2015,Exposed to air pollution_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST,Percentage of previous earnings lost,Labour market insecurity,,Total,Total,Total,4.632852077,2015,Labour market insecurity_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,28.8392067,2015,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,1.085422527,2015,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2015,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,9.613007007,2015,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2015,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2015,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,1_4,Income and wealth,PT_POP,Percentage of population,Household disposable income below the relative income poverty line,,Total,Total,Total,16.8,2015,Household disposable income below the relative income poverty line_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2015,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,2_6,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Job strain,,Total,Total,Secondary education,40.53028488,2015,Job strain_Age:Total_Sex:Total_Education:Secondary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96.1,2015,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,78.1,2015,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2015,Social support_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Young,Total,Total,7.679692745,2015,Labour market insecurity_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,66.85818782,2015,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Secondary education,3.889934063,2015,Labour market insecurity_Age:Total_Sex:Total_Education:Secondary education
United States,3_5,Housing,PT_HH,Percentage of households,Households with internet access at home,,Total,Total,Total,73.05,2015,Households with internet access at home_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2015,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,77.24224476,2015,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,5.044155844,2015,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
